sample_id,split,path,class,class_id,cond_raw
s0001,test,data/sample/tensors/s0001.npy,Ctrl,0,Ctrl
s0002,test,data/sample/tensors/s0002.npy,Ctrl,0,Ctrl
s0003,test,data/sample/tensors/s0003.npy,Ctrl,0,Ctrl
s0004,test,data/sample/tensors/s0004.npy,Ctrl,0,Ctrl
s0005,test,data/sample/tensors/s0005.npy,DOX,1,DOX_0.02_uM
s0006,test,data/sample/tensors/s0006.npy,DOX,1,DOX_0.02_uM
s0007,test,data/sample/tensors/s0007.npy,DOX,1,DOX_0.2_uM
s0008,test,data/sample/tensors/s0008.npy,DOX,1,DOX_0.2_uM
s0009,test,data/sample/tensors/s0009.npy,TRZ,2,TRZ_0.1_mg_ml
s0010,test,data/sample/tensors/s0010.npy,TRZ,2,TRZ_0.1_mg_ml
s0011,test,data/sample/tensors/s0011.npy,TRZ,2,TRZ_1_mg_ml
s0012,test,data/sample/tensors/s0012.npy,TRZ,2,TRZ_1_mg_ml
s0013,test,data/sample/tensors/s0013.npy,Suni,3,Sunitinib_0.1_uM
s0014,test,data/sample/tensors/s0014.npy,Suni,3,Sunitinib_0.1_uM
s0015,test,data/sample/tensors/s0015.npy,Suni,3,Sunitinib_1_uM
s0016,test,data/sample/tensors/s0016.npy,Suni,3,Sunitinib_1_uM
s0017,test,data/sample/tensors/s0017.npy,Ctrl,0,Ctrl
s0018,test,data/sample/tensors/s0018.npy,Ctrl,0,Ctrl
s0019,test,data/sample/tensors/s0019.npy,Ctrl,0,Ctrl
s0020,test,data/sample/tensors/s0020.npy,Ctrl,0,Ctrl
s0021,test,data/sample/tensors/s0021.npy,DOX,1,DOX_0.02_uM
s0022,test,data/sample/tensors/s0022.npy,DOX,1,DOX_0.02_uM
s0023,test,data/sample/tensors/s0023.npy,DOX,1,DOX_0.2_uM
s0024,test,data/sample/tensors/s0024.npy,DOX,1,DOX_0.2_uM
s0025,test,data/sample/tensors/s0025.npy,TRZ,2,TRZ_0.1_mg_ml
s0026,test,data/sample/tensors/s0026.npy,TRZ,2,TRZ_0.1_mg_ml
s0027,test,data/sample/tensors/s0027.npy,TRZ,2,TRZ_1_mg_ml
s0028,test,data/sample/tensors/s0028.npy,TRZ,2,TRZ_1_mg_ml
s0029,test,data/sample/tensors/s0029.npy,Suni,3,Sunitinib_0.1_uM
s0030,test,data/sample/tensors/s0030.npy,Suni,3,Sunitinib_0.1_uM
s0031,test,data/sample/tensors/s0031.npy,Suni,3,Sunitinib_1_uM
s0032,test,data/sample/tensors/s0032.npy,Suni,3,Sunitinib_1_uM
s0033,train,data/sample/tensors/s0033.npy,Ctrl,0,Ctrl
s0034,train,data/sample/tensors/s0034.npy,Ctrl,0,Ctrl
s0035,train,data/sample/tensors/s0035.npy,Ctrl,0,Ctrl
s0036,train,data/sample/tensors/s0036.npy,Ctrl,0,Ctrl
s0037,train,data/sample/tensors/s0037.npy,DOX,1,DOX_0.02_uM
s0038,train,data/sample/tensors/s0038.npy,DOX,1,DOX_0.02_uM
s0039,train,data/sample/tensors/s0039.npy,DOX,1,DOX_0.2_uM
s0040,train,data/sample/tensors/s0040.npy,DOX,1,DOX_0.2_uM
s0041,train,data/sample/tensors/s0041.npy,TRZ,2,TRZ_0.1_mg_ml
s0042,train,data/sample/tensors/s0042.npy,TRZ,2,TRZ_0.1_mg_ml
s0043,train,data/sample/tensors/s0043.npy,TRZ,2,TRZ_1_mg_ml
s0044,train,data/sample/tensors/s0044.npy,TRZ,2,TRZ_1_mg_ml
s0045,train,data/sample/tensors/s0045.npy,Suni,3,Sunitinib_0.1_uM
s0046,train,data/sample/tensors/s0046.npy,Suni,3,Sunitinib_0.1_uM
s0061,train,data/sample/tensors/s0061.npy,Suni,3,Sunitinib_0.1_uM
s0062,train,data/sample/tensors/s0062.npy,Suni,3,Sunitinib_0.1_uM
s0049,train,data/sample/tensors/s0049.npy,Ctrl,0,Ctrl
s0050,train,data/sample/tensors/s0050.npy,Ctrl,0,Ctrl
s0051,train,data/sample/tensors/s0051.npy,Ctrl,0,Ctrl
s0052,train,data/sample/tensors/s0052.npy,Ctrl,0,Ctrl
s0053,train,data/sample/tensors/s0053.npy,DOX,1,DOX_0.02_uM
s0054,train,data/sample/tensors/s0054.npy,DOX,1,DOX_0.02_uM
s0055,train,data/sample/tensors/s0055.npy,DOX,1,DOX_0.2_uM
s0056,train,data/sample/tensors/s0056.npy,DOX,1,DOX_0.2_uM
s0057,train,data/sample/tensors/s0057.npy,TRZ,2,TRZ_0.1_mg_ml
s0058,train,data/sample/tensors/s0058.npy,TRZ,2,TRZ_0.1_mg_ml
s0059,train,data/sample/tensors/s0059.npy,TRZ,2,TRZ_1_mg_ml
s0060,train,data/sample/tensors/s0060.npy,TRZ,2,TRZ_1_mg_ml
s0077,val,data/sample/tensors/s0077.npy,Suni,3,Sunitinib_0.1_uM
s0078,val,data/sample/tensors/s0078.npy,Suni,3,Sunitinib_0.1_uM
s0047,train,data/sample/tensors/s0047.npy,Suni,3,Sunitinib_1_uM
s0048,train,data/sample/tensors/s0048.npy,Suni,3,Sunitinib_1_uM
s0065,val,data/sample/tensors/s0065.npy,Ctrl,0,Ctrl
s0066,val,data/sample/tensors/s0066.npy,Ctrl,0,Ctrl
s0067,val,data/sample/tensors/s0067.npy,Ctrl,0,Ctrl
s0068,val,data/sample/tensors/s0068.npy,Ctrl,0,Ctrl
s0069,val,data/sample/tensors/s0069.npy,DOX,1,DOX_0.02_uM
s0070,val,data/sample/tensors/s0070.npy,DOX,1,DOX_0.02_uM
s0071,val,data/sample/tensors/s0071.npy,DOX,1,DOX_0.2_uM
s0072,val,data/sample/tensors/s0072.npy,DOX,1,DOX_0.2_uM
s0073,val,data/sample/tensors/s0073.npy,TRZ,2,TRZ_0.1_mg_ml
s0074,val,data/sample/tensors/s0074.npy,TRZ,2,TRZ_0.1_mg_ml
s0075,val,data/sample/tensors/s0075.npy,TRZ,2,TRZ_1_mg_ml
s0076,val,data/sample/tensors/s0076.npy,TRZ,2,TRZ_1_mg_ml
s0063,train,data/sample/tensors/s0063.npy,Suni,3,Sunitinib_1_uM
s0064,train,data/sample/tensors/s0064.npy,Suni,3,Sunitinib_1_uM
s0079,val,data/sample/tensors/s0079.npy,Suni,3,Sunitinib_1_uM
s0080,val,data/sample/tensors/s0080.npy,Suni,3,Sunitinib_1_uM
